Key,Desc,English,Russian,Spanish,Chinese (Simplified),Belarusian,French,German,Italian,Japanese,Korean,,Turkish,Ukrainian
s1revR,,You lean out of the window and ask what the uninvited guests want,"Вы высовываетесь из окна и спрашиваете, чего хотят незваные гости",Te asomas por la ventana y preguntas qué quieren los invitados no deseados,,"У гэтым дэма-версіі не даступна галіна з акном, але мы ўжо працуем над ёй.","Aucune branche avec fenêtre n'est disponible dans cette démo,
Mais nous y travaillons déjà.","Ein Zweig mit einem Fenster ist in dieser Demo nicht verfügbar,
Aber wir arbeiten bereits daran.","Nessun ramo con finestra è disponibile in questa demo,
Ma ci stiamo già lavorando.","このデモでは、ウィンドウのあるブランチは使用できません,
しかし、私たちはすでにそれに取り組んでいます。","이 데모에서는 창이 있는 지점을 사용할 수 없습니다,
그러나 우리는 이미 그것에 노력하고 있습니다.",,"Bu demoda pencereli bir şube mevcut değil,
Ama biz zaten üzerinde çalışıyoruz.","У цьому демо не доступна гілка з вікном,
Але ми вже працюємо над нею."
s1revLno,,Set 1 Reverse Left No Item,Пара 1 Реверс Левый Нет предмета,,,,,,,,,,,
s1revRno,,Set 1 Reverse Right No Item,Пара 1 Реверс Правый Нет предмета,,,,,,,,,,,
2_Guard_bunner,,"There were royal guards outside the door.
They want you to go to the palace","За дверью оказалась царская стража
Требуют, чтобы вы отправились во дворец","Tras la puerta se encontraba la guardia real.
Te piden que vayas al Palacio",,"За дзвярыма апынулася каронная варта. Яны патрабуюць, каб вы адправіліся ў палац.","Derrière la porte se trouvait la garde royale
Exiger que vous alliez au palais","Die königliche Wache stand vor der Tür
Sie verlangen, dass Sie in den Palast gehen","Dietro la porta c'era una guardia reale
Ti chiedono di andare al Palazzo","ドアの外には王室の警備員がいました
彼らはあなたが宮殿に行くことを要求します","문 밖에 왕실 경비원이 있었다
그들은 당신이 궁전에 갈 것을 요구",,"Kapının dışında kraliyet muhafızı vardı
Saraya gitmenizi istiyorlar","За дверима опинилася королівська варта
Вимагають щоб ви вирушили до палацу"
2_Guard_cardLeft,,Agree to go,Согласиться пойти,Aceptar ir,,Сгодзіцца пайсці.,Accepter d'aller,Zustimmen zu gehen,Accetta di andare,行くことに同意する,가기로 동의,,Gitmeyi kabul etmek,Погодитися піти
2_Guard_cardLeft_REV,,You agree to go to the castle,Вы соглашаетесь отправиться во дворец,Usted acepta ir al Palacio,,Вы згаджаецеся адправіцца ў палац.,Vous acceptez d'aller au palais,"Sie stimmen zu, in den Palast zu gehen",Accetti di andare al Palazzo,あなたは宮殿に行くことに同意します,당신은 궁전에 갈 것에 동의합니다,,Saraya gitmeyi kabul ediyorsunuz,Ви погоджуєтеся відправитися до палацу
2_Guard_cardRight,,Slam the door in their face,Хлопнуть дверью у них перед носом,Cerrar la puerta delante de sus narices,,Хлопнуць дзвярыма ў іх перад носам.,,,,,,,,
2_Guard_cardRight_REV,,"Making a face, you slam the door in front of the guards, the guards didn't like it","Скорчив физиономию, вы хлопаете дверью перед носом у стражников, им это не понравилось","Con la cara entrecortada, golpeas la puerta delante de la nariz de los guardias, no les gustó",,"Скривіўшы твар, вы хлопаеце дзвярыма перад носам у вартаўнікоў, і гэта ім не спадабалася.",,,,,,,,
2_KingGuardOnDoor_bunner,,"The royal guards are at your door, demanding that you go with them to the king's castle","У вашей двери стоит королевская стража, и они требуют, чтобы вы отправились с ними в замок к царю",La guardia real está en tu puerta y exige que vayas con ellos al castillo del rey,,Як вы будзеце дабірацца да замка?,,,,,,,,
2_KingGuardOnDoor_cardLeft,,Agree,Согласиться,Aceptar ir,,Адправіцца самому.,,,,,,,,
2_KingGuardOnDoor_cardLeft_REV,,You agree to go to the castle,Вы соглашаетесь отправиться в замок,Aceptas ir al castillo,,Вы дабярэцеся да палаца самастойна.,,,,,,,,
2_KingGuardOnDoor_cardRight,,Be rude,Нагрубить,Ser grosero,,На возе з ахоўнікамі.,,,,,,,,
2_KingGuardOnDoor_cardRight_REV,,You shout - Who are you? I didn't call for you! Go to hell!,Вы кричите - Кто вы такие я вас не звал идите к черту!,Gritas - ¿Quiénes son ustedes? ¡No los llamé! ¡Váyanse al diablo!,,Вы залазіце ў воз і едзеце ў палац.,,,,,,,,
3_GuardSlamDoor_bunner,,The guards knocked down the door and now you are going to the palace under supervision,"Стража выбила дверь и теперь
 вы едете во дворец под присмотром","Los guardias golpearon la puerta y ahora
 usted va al Palacio bajo supervisión",,"Вартаўнікі выбілі дзверы, і цяпер вы едзеце ў замак пад аховай.",,,,,,,,
3_GuardSlamDoor_cardLeft,,Get in the wagon,Сесть в повозку,Subir al carro,上马车,Сесці бліжэй да краю вазкі.,,,,,,,,
3_GuardSlamDoor_cardLeft_REV,,You choose to stop resisting,Вы решаете прекратить сопротивление,Decides dejar de resistirte,你决定放弃抵抗。,"Вы садзіцеся бліжэй да краю вазкі, каб не раздражаць вартаўнікоў.",,,,,,,,
3_GuardSlamDoor_cardRight,,Continue to resist,Продолжить сопротивляться,Seguir resistiendo,继续抵抗。,Працягваць супраціўляцца.,,,,,,,,
3_GuardSlamDoor_cardRight_REV,,"You push the guards and behave defiantly, for which you get a strong blow","Вы толкаете стражников и ведете себя вызывающе, за что получаете сильный удар","Usted empuja a los guardias y se comporta desafiante, por lo que recibe un fuerte golpe",,"Вы штурхаеце вартаўнікоў і паводзіце сябе выклікаюча, за што атрымліваеце моцны ўдар.",,,,,,,,
3_StealAppleQ_bunner,,"As you move through the market, eyeing the guards, you notice a stall with unusually ripe produce — your hand twitches to grab somethin","Вы идёте по базару, поглядывая на стражу, и вдруг замечаете прилавок с особенно спелыми фруктами и овощами - рука так и тянется стащить","Mientras avanzas por el mercado, vigilando a los guardias, descubres un puesto con frutas anormalmente maduras — sientes el impulso de coger algo",你在集市中穿行，提防着守卫，突然发现一个果蔬异常新鲜的摊位——手不自觉地想顺点东西。,,,,,,,,,
3_StealAppleQ_cardLeft,,Steal from under the merchant's nose,Стащить из-под носа у продавца ,Robar bajo las narices del vendedor,,,,,,,,,,
3_StealAppleQ_cardLeft_REV,,The merchant spots you and cracks your head with a stick,Вас замечает продавец и бьет палкой по голове,El vendedor te ve y te golpea la cabeza con un palo,,,,,,,,,,
3_StealAppleQ_cardRight,,Steal from the nearest stall,Стащить с ближнего к вам прилавка,Robar del puesto más cercano,,,,,,,,,,
3_StealAppleQ_cardRight_REV,,"The merchant notices, but you dodge his stick in time","Продавец замечает, но вы успеваете увернуться от его палки","El vendedor se da cuenta, pero esquivas su palo a tiempo",,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4_PovozkaPlaceToSeat_bunner,,"The carriage is quite free, where will you sit?","В повозке довольно свободно, куда сядете?","En el transporte es bastante libre, ¿dónde se sentará?",,"У возе даволі вольна, куды сядзеце?",,,,,,,,
4_PovozkaPlaceToSeat_cardLeft,,Sit at the edge of the cart,Сесть к краю повозки,Sentarse al borde del carro,,Сесці да краю павозкі.,,,,,,,,
4_PovozkaPlaceToSeat_cardLeft_REV,,You sit closer to the edge of the cart so as not to annoy the guards,"Вы садитесь ближе к краю повозки, чтобы не раздражать стражу",Te sientas más cerca del borde del carro para no provocar a la guardia,,"Вы садзіцеся бліжэй да краю павозкі, каб не раздражаць вартаў.",,,,,,,,
4_PovozkaPlaceToSeat_cardRight,,Get in deeper,Залезть поглубже,Siéntese en el centro,,Вы залезеце паглыбей у павозку.,,,,,,,,
4_PovozkaPlaceToSeat_cardRight_REV,,"You climb into the center of the cart, and find a bent nail under your backside","Вы залезаете в центр повозки, и обнаруживаете под своим задом гнутый гвоздь",Te metes en el centro del carro y encuentras un clavo doblado debajo de tu trasero,,Вы залезеце ў цэнтр павозкі і выяўляеце пад сваім задом гнуты цвік.,,,,,,,,
4_RoadToTraktir_bunner,,"Fate brings you to a tavern on your path, leaving you no choice but to enter","По воле судьбы на вашем пути встречается трактир, и у вас не остаётся выбора, кроме как войти внутрь","El destino pone una taberna en tu camino, dejándote sin más opción que entrar",,,,,,,,,,
4_RoadToTraktir_cardLeft,,Ask the innkeeper for the latest news and drink some ale,Узнать у трактирщика последние новости и выпить эля,Preguntar al tabernero por las últimas noticias y beber cerveza,,,,,,,,,,
4_RoadToTraktir_cardLeft_REV,,"He's glad to see you, offers you a seat, and shows a leaflet","Он рад вас видеть, предлагает присесть и показывает листовку","Se alegra de verte, te ofrece asiento y muestra un folleto",,,,,,,,,,
4_RoadToTraktir_cardRight,,Grab some ale and join the lads at the table,Взять эля и присесть за столик к мужикам,Coger cerveza y sentarse con los hombres en la mesa,,,,,,,,,,
4_RoadToTraktir_cardRight_REV,,"You sit at the table, recognizing some faces and seeing others for the first time","Вы садитесь за стол, кого-то вы знаете, кого - то видите впервые","Te sientas a la mesa, reconociendo algunos rostros y viendo otros por primera vez",,,,,,,,,,
4_Traktir_bunner,,The leaflet shows a girl's portrait with the caption 'Missing Princess' and a reward offer,"На листовке изображение девушки и надпись - пропала принцесса, а также обещание вознаграждения ",El folleto muestra el retrato de una joven con la leyenda 'Princesa Desaparecida' y una recompensa ofrecida,,,,,,,,,,
4_Traktir_cardLeft,,How did she disappear?,Как она пропала?,¿Cómo desapareció?,,,,,,,,,,
4_Traktir_cardLeft_REV,,"The innkeeper said rumors claim a dragon kidnapped her
",Трактирщик сказал что по слухам ее похитил дракон,El tabernero dijo que los rumores culpan a un dragón de su secuestro,,,,,,,,,,
4_Traktir_cardRight,,Has anyone tried to find her yet?,Кто-то уже пытался ее отыскать? ,¿Alguien ya ha intentado encontrarla?,,,,,,,,,,
4_Traktir_cardRight_REV,,"Three brave souls went after her... none returned. So either they're dead, or damn close to succeeding...","Трое смельчаков ушли и не вернулись. Значит, либо погибли, либо почти у цели…","Tres valientes partieron tras ella... y ninguno regresó. O están muertos, o a punto de lograrlo...",,,,,,,,,,
4_2_Traktir_bunner,,"The innkeeper tells you that a dragon has recently kidnapped a princess, and the king, desperate and having heard of your exploits, is looking for you","Трактирщик рассказывает вам что недавно дракон похитил принцессу, а царь, отчаявшись и прослышав о ваших подвигах, ищет именно вас","El posadero te cuenta que un dragón ha secuestrado recientemente a una princesa, y el rey, desesperado y habiendo oído hablar de tus hazañas, te busca",,,,,,,,,,
4_Capable_bunner,,Rumors say the king is searching the land for someone capable. A reward is promised... and perhaps something more,"Говорят, царь по всему краю ищет кого-то толкового. Обещана награда, и возможно еще кое - что...",Se dice que el rey busca a alguien competente por todo el reino. Hay una recompensa... y quizás algo más,,,,,,,,,,
4_Capable_cardLeft,,Shrug,Пожать плечами ,Encogerse de hombros,,,,,,,,,,
4_Capable_cardLeft_REV,,Is the reward truly worth risking your life for?,Неужели награда такая большая что за нее стоит рискнуть жизнью?,¿De verdad la recompensa vale tanto como para arriesgar la vida?,,,,,,,,,,
4_Capable_cardRight,,Capable - what's that supposed to mean?,Толковый - это ещё кто?,Competente - ¿y eso qué significa?,,,,,,,,,,
4_Capable_cardRight_REV,,The innkeeper laughs: 'All the 'capable ones' are already in the dragon's belly!,"Трактирщик смеясь -  Все ""толковые"" - уже в пасти у дракона",El tabernero ríe - Todos los 'competentes' ya están en la panza del dragón,,,,,,,,,,
4_Reward_bunner,,"The innkeeper nods: ‘Rumors say a chest of gold, honors... and the princess herself - if you can handle her","Трактирщик кивает - Говорят, сундук золота, почет, да и принцесса - если вы с ней сладите","El tabernero asiente: ‘Dicen que un cofre de oro, honores... y la princesa misma - si logras manejarla",,,,,,,,,,
4_Reward_cardLeft,,So... is the princess at least pretty?,"А что, принцесса - то красивая?",Oye... ¿la princesa es guapa al menos?,,,,,,,,,,
4_Reward_cardLeft_REV,,"Oh she's fair enough, but fiery-tempered. Nearly had a man hanged for singing off-key","Конечно, но с характером. Одного чуть не казнила за плохую песню","Bonita sí, pero de carácter. Casi manda a ejecutar a uno por cantar mal",,,,,,,,,,
4_Reward_cardRight,,Got any useful intel about this dragon?,"А может знаешь, что полезное про этого дракона?",¿Sabes algo útil sobre ese dragón?,,,,,,,,,,
4_Reward_cardRight_REV,,The innkeeper slides you a book page - Read this if you’re fool enough to go. It’s about that dragon,"Трактирщик протягивает вам страницу из книги - вот почитай если решишься идти, тут про того дракона написано",El tabernero te pasa una página del libro -Lee esto si te atreves a ir. Habla de ese dragón,,,,,,,,,,
4_TraktirTales_bunner,,The lads are swapping tall tales. You listen in and join the talk,Мужики травят байки вы слушаете и подключаетесь к беседе,Los hombres están contando historias exageradas. Escuchas y te unes a la conversación,,,,,,,,,,
4_TraktirTales_cardLeft,,Keep swapping tall tales while grabbing another ale,Продолжить травить байки взяв еще одну кружечку эля,Seguir contando historias exageradas mientras tomas otra cerveza,,,,,,,,,,
4_TraktirTales_cardLeft_REV,,Talk flows merrier when the mug isn’t empty,"Беседа идет веселее, когда в кружке что-то плещется",La conversación es más animada cuando la jarra no está vacía,,,,,,,,,,
4_TraktirTales_cardRight,,Listen carefully to what they're saying,Внимательно слушать что говорят,Escuchar con atención lo que dicen,,,,,,,,,,
4_TraktirTales_cardRight_REV,,"They say the fistfighting champion may be slow, but misses nothing","Говорят, что чемпион по кулачным боям, несмотря на свою медлительность, очень внимателен","Cuentan que el campeón de peleas a puños, aunque lento, es muy observador",,,,,,,,,,
4_Taunt_bunner,,One of them stands up and demands you back up your talk,"Один из них встаёт, и предлагает ответить за свои слова",Uno de ellos se levanta y exige que respaldes tus palabras,,,,,,,,,,
4_Taunt_cardLeft,,Stand up and accept the challenge,Встать и принять вызов,Levantarse y aceptar el desafío,,,,,,,,,,
4_Taunt_cardLeft_REV,,Your opponent proves surprisingly quick - you take a gut punch and lose the will to fight on,"Противник оказался довольно быстр, и вы пропускаете удар в живот и больше вам не хочется продолжать",Tu oponente es más rápido de lo esperado - recibes un puñetazo en el estómago y pierdes las ganas de continuar,,,,,,,,,,
4_Taunt_cardRight,,Boast you can take him without even getting up,"Сказать, что уделаете его не вставая со стула",Fanfarronear que puedes con él sin levantarte,,,,,,,,,,
4_Taunt_cardRight_REV,,"You hurl the iron mug straight at the troublemaker's head - he drops like a sack, and the lads roar with laughter","Вы метко швыряете железную кружку в голову дебоширу, он падает, мужики смеются","Lanzas la jarra de hierro directo a la cabeza del alborotador - se desploma, y los hombres estallan en risas",,,,,,,,,,
4_Taunt_2_bunner,,You eye the remaining ‘brave souls’ - and feel a sudden itch to mess with them,"Вы смотрите на остальных ""смельчаков"" и у вас возникает сильное желание их поддеть",Miras a los demás ‘valientes’ - y sientes un fuerte impulso de burlarte de ellos,,,,,,,,,,
4_Taunt_2_cardLeft,,Don't hold back,Не сдерживать себя,No contenerse,,,,,,,,,,
4_Taunt_2_cardLeft_REV,,You throw a biting remark at the ‘brave ones’ around the table,"Вы отпускаете колкость в сторону ""смельчаков"" за столом",Lanzas una ironía hacia los ‘valientes’ de la mesa,,,,,,,,,,
4_Taunt_2_cardRight,,To say nothing,Не говорить ничего,No decir nada,,,,,,,,,,
4_Taunt_2_cardRight_REV,,This day has already been full of worries,Сегодняшний день и так был полон беспокойства,Este día ya ha estado lleno de preocupaciones,,,,,,,,,,
4_Taunt_3_bunner,,"You don’t have time to reply - laughter erupts from a nearby table. One of the men raises his tankard: «So what, you’re the clever one now?","Вы не успеваете ответить - с соседнего стола раздаётся хохот. Один из мужиков поднимает кружку - Так значит, ты теперь самый толковый?",No tienes tiempo de responder — una carcajada estalla en la mesa de al lado. Uno de los tipos alza su jarro: «¿Así que ahora eres el listo?,,,,,,,,,,
4_Taunt_3_cardLeft,,Wind them up,Подколоть их ,Provocarlos,,,,,,,,,,
4_Taunt_3_cardLeft_REV,,"If you're the best, no wonder the dragon's still alive","Если вы - лучшие, то не удивительно, что дракон до сих пор жив","Si sois los mejores, no me extraña que el dragón siga vivo",,,,,,,,,,
4_Taunt_3_cardRight,,Ignore them,Не обращать внимания,Ignorarlos,,,,,,,,,,
4_Taunt_3_cardRight_REV,,This day has already been full of worries,Сегодняшний день и так был полон беспокойства,Este día ya ha estado lleno de preocupaciones,,,,,,,,,,
4_InnKeeperStillTalk_bunner,,You continue the conversation with the innkeeper,Вы продолжаете разговор с трактирщиком,Continúas la conversación con el tabernero,,,,,,,,,,
4_InnKeeperStillTalk_cardLeft,,Who would dare steal the princess?,Кто мог украсть принцессу?,¿Quién se atrevería a secuestrar a la princesa?,,,,,,,,,,
4_InnKeeperStillTalk_cardLeft_REV,,The innkeeper muttered that rumors whisper of the Green Dragon stealing her away,"Трактирщик сказал, что по слухам ее похитил зеленый дракон",El tabernero susurró que los rumores culpan al Dragón Verde de su secuestro,,,,,,,,,,
4_InnKeeperStillTalk_cardRight,,How long ago did this happen?,Как давно это случилось?,¿Hace cuánto ocurrió esto?,,,,,,,,,,
4_InnKeeperStillTalk_cardRight_REV,,"The innkeeper laughs - Aye, the dragon snatched her ‘bout three weeks ago - while you were snorin’ cozy by the oven!","Трактирщик смеется и говорит - Вроде как дракон забрал ее с три недели назад, все то время пока ты сладко спал на печи",El tabernero ríe - ¡Dicen que el dragón se la llevó hace tres semanas… justo cuando roncabas junto al horno!,,,,,,,,,,
4_Doubts_bunner,,"Seems a risky business - a dragon, and a long road to boot. Fancy your luck in a fight with the beast?","Дело, кажется, довольно опасным, дракон, да еще и путь лежит не близкий, попытаете счастье в бою с драконом?","Pinta peligroso: un dragón, y además un camino largo. ¿Te atreverás a enfrentarlo?",,,,,,,,,,
4_Doubts_cardLeft,,Why the hell not?!,А почему бы и нет!,¡Y por qué no!,,,,,,,,,,
4_Doubts_cardLeft_REV,,You rise and bellow to the crowd -I’ll bring back that princess — and the reward’s MINE!,"Вы встаете и громко заявляете всем что освободите принцессу, ну и конечно же заберете вознаграждение",Te pones en pie y ruges- ¡Rescataré a la princesa… y el oro será MI-O!,,,,,,,,,,
4_Doubts_cardRight,,You're not exactly itching to get involved in this mess,Вам что-то не хочется в этом участвовать,No te muertes por meterte en este lío,,,,,,,,,,
4_Doubts_cardRight_REV,,You weren’t exactly the royal family’s darling - and becoming dragon barbecue is a hard pass,"Вы не были сильно близки с царским родом, да и поджариться в пасти дракона не лучшая перспектива",No eras precisamente el favorito de la corte... y acabar como banquete de dragón no pinta bien,,,,,,,,,,
4_MensAgree_bunner,,"The crowd nods in grim agreement - then one patron sidles up to you, clutching what looks like... a bone","Все понимающе кивают, а один из посетителей, подходит к вам и что-то похожее на кость","Todos asienten, compungidos... hasta que un parroquiano se acerca, sosteniendo algo que parece un hueso",,,,,,,,,,
4_MensAgree_cardLeft,,Examine it closely,Внимательно осмотреть,Examínalo con detenimiento,,,,,,,,,,
4_MensAgree_cardLeft_REV,,The stranger urges you to take it if you dare the swamps - A charm against Baba Yaga,"Незнакомец, советует взять ее с собой если вы решить пойти через топи, в качестве оберега от Бабы - Яги",El forastero susurra - Llévalo si cruzas los pantanos... o Baba Yaga te hará su cena,,,,,,,,,,
4_MensAgree_cardRight,,Never accept gifts from strangers,Не принимать даров от незнакомцев,No aceptes regalos de extraños,,,,,,,,,,
4_MensAgree_cardRight_REV,,Refuse the gift with a scoff - Got a whole damn collection of these at home,"Отказаться от подарка, сказав, что у вас таких и у самого полно","Rechazar el regalo con un gesto - Tengo un montón igual en casa, ¿sabes?",,,,,,,,,,
,,,,,,,,,,,,,,
4_2_TraktirTales_bunner,,The conversation flows... until a jest about the king chokes the room into silence. You don’t grasp why — but the air now tastes of tension,"Вы продолжаете общение, кто-то пошутил про короля, и все замолкли, вы не поняли причину","La charla continúa... hasta que una broma sobre el rey corta el murmullo. No entiendes el motivo, pero el silencio ahora pesa como una losa",,,,,,,,,,
4_2_TraktirTales_cardLeft,,Go fetch another tankard of ale,Сходить за еще одной кружечкой эля,Ir por otra jarra de cerveza,,,,,,,,,,
4_2_TraktirTales_cardLeft_REV,,"The ale’s stronger than expected, and the room’s starting to swim",Эль оказался забористый и в глазах немного мутнеет,"La cerveza es más potente de lo que pensabas, y la vista ya no es la misma",,,,,,,,,,
4_2_TraktirTales_cardRight,,Go grab a bite to eat,Пойти подкрепиться,Ir a por algo de comer,,,,,,,,,,
4_2_TraktirTales_cardRight_REV,,"You devour the stew, and it tastes... oddly enchanted","Вы съедаете похлебку, которая кажется вам волшебной","Te tomas la sopa, y sospechas que está... embrujada",,,,,,,,,,
4_SneakOnGuards_bunner,,You hear the guard tell you that there is grief and the king orders a hero from the outskirts to come to the castle,"Вы слышите, как стражник рассказывает, что случилось несчастье и король приказывает герою с окраины, то есть нам явиться в замок",Escuchas al guardia decirte que hay dolor y el rey ordena a un héroe de las afueras que venga al castillo,,,,,,,,,,
4_SneakOnGuards_cardLeft,,"Wait for the guards to leave, then eavesdrop on the merchants’ hushed whispers","Дождаться пока стража уйдет и подслушать, о чем начнут шептаться торговцы",Esperar a que los guardias se vayan y escuchar a escondidas lo que susurran los mercaderes,,,,,,,,,,
4_SneakOnGuards_cardLeft_REV,,You’ve uncovered that the stablehand is cheating on his wife... with the butcher’s daughter. Groundbreaking intel,"Вы узнали, что конюх изменяет своей жене с дочкой мясника, ценность информации под вопросом",Descubres que el mozo le pone los cuernos a su esposa... con la hija del carnicero. Todo un hallazgo,,,,,,,,,,
4_SneakOnGuards_cardRight,,"Wait for the guard to step away from the tent, then corner the merchant for details",Дождаться пока стража отойдет от палатки и спросить у торговца подробности,"Espera a que el guardia se aleje de la tienda, y pregunta al mercader... con discreción",,,,,,,,,,
4_SneakOnGuards_cardRight_REV,,The merchant couldn’t give you anything useful - too busy shaking in his boots at the guards’ sudden inspection,"Ничего нового и внятного торговец вам сказать так и не смог, он был сильно напуган тем, что на рынок заявилась стража",El mercader no suelta ni una pista útil - demasiado ocupado temblando por la guardia,,,,,,,,,,
4_SpyOnGuards_bunner,,"As you weave through the market, you spot guards shoving leaflets at a merchant - one bears your scowling likeness","Вы идете по рынку и замечаете, что стражник показывают листовки торговцу, один из них с вашим портретом ",Avanzas por el mercado cuando ves a los guardias mostrar folletos a un vendedor... ¡y uno tiene tu retrato!,,,,,,,,,,
4_SpyOnGuards_cardLeft,,Continue secret surveillance of the guards,Продолжить тайную слежку за стражниками,Continuar la vigilancia secreta de los guardias reales,,,,,,,,,,
4_SpyOnGuards_cardLeft_REV,,"You take the cape from the counter, disguise yourself as an old lady and get as close as possible","Вы берёте платок с прилавка, маскируетесь под старушку и подходите максимально близко","Sacas la tela del mostrador, te disfrazas de anciana y te acercas lo más posible",,,,,,,,,,
4_SpyOnGuards_cardRight,,,Дождаться пока стража отойдет от палатки,,,,,,,,,,,
4_SpyOnGuards_cardRight_REV,,After the guards leave you run up to the merchant and ask what they wanted,"После того как стража уходит вы подбегаете к торговцу и спрашиваете, чего они хотели","Después de que los guardias se vayan, corres hacia el comerciante y le preguntas qué querían",,,,,,,,,,
